accession,description,length,raw Ns,raw Ns %,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,RM vsl-25 missed Ns,RM vsl-25 missed Ns %
NC_048505.1,Curcuma zedoaria chloroplast  complete genome,162135,0,0,7424,4.57,2314,1.42,8112,5.00,688,.42
NC_048506.1,Muntiacus gongshanensis mitochondrion  complete genome,16356,0,0,437,2.67,4100,25.06,4257,26.02,3820,23.35
NC_048507.1,Antarctomyces pellizariae strain UFMGCB 12416 mitochondrion  complete genome,30121,0,0,963,3.19,368,1.22,1110,3.68,147,.48
NC_048508.1,Heteroplexis incana chloroplast  complete genome,152605,0,0,6448,4.22,1451,.95,6841,4.48,393,.25
NC_048509.1,Glycyrrhiza aspera voucher WUK:Chang et al. 2015143 plastid  complete genome,127831,0,0,4888,3.82,2113,1.65,5797,4.53,909,.71
NC_048510.1,Sonchus asper isolate VIL-1 chloroplast  complete genome,151849,0,0,5060,3.33,515,.33,5207,3.42,147,.09
NC_048511.1,Sargassum fusiforme chloroplast  complete genome,124298,0,0,5437,4.37,1129,.90,6197,4.98,760,.61
NC_048512.1,Ajuga forrestii chloroplast  complete genome,150492,0,0,4669,3.10,368,.24,4767,3.16,98,.06
NC_048513.1,Quercus fenchengensis chloroplast  complete genome,161296,0,0,6010,3.72,1400,.86,6550,4.06,540,.33
NC_048514.1,Physalis pubescens chloroplast  complete genome,157007,0,0,5487,3.49,785,.49,5781,3.68,294,.18
NC_048515.1,Physalis minima chloroplast  complete genome,156692,0,0,5659,3.61,835,.53,6002,3.83,343,.21
NC_048516.1,Empoascanara sipra mitochondrion  complete genome,14827,0,0,743,5.01,565,3.81,1111,7.49,368,2.48
NC_048517.1,Hemerobius japonicus mitochondrion  complete genome,18585,0,0,758,4.07,1032,5.55,1692,9.10,934,5.02
NC_048518.1,Thespesia populnea chloroplast  complete genome,160451,0,0,7158,4.46,1897,1.18,7921,4.93,763,.47
NC_048519.1,Enhalus acoroides chloroplast  complete genome,176748,0,0,8264,4.67,3202,1.81,9467,5.35,1203,.68
NC_048520.1,Impatiens hawkeri chloroplast  complete genome,151691,0,0,4539,2.99,1251,.82,5127,3.37,588,.38
NC_048521.1,Scincella modesta mitochondrion  complete genome,17511,0,0,512,2.92,1108,6.32,1620,9.25,1108,6.32
NC_048522.1,Pistia stratiotes chloroplast  complete genome,164551,0,0,8762,5.32,4290,2.60,10483,6.37,1721,1.04
NC_048523.1,Danxiaorchis singchiana plastid  complete genome,87931,0,0,4224,4.80,1157,1.31,5200,5.91,976,1.10
NC_048524.1,Stephania kwangsiensis chloroplast  complete genome,156624,0,0,5894,3.76,1203,.76,6482,4.13,588,.37
NC_048525.1,Greenidea ficicola voucher HL20170210-1 mitochondrion  complete genome,17361,0,0,221,1.27,2878,16.57,3050,17.56,2829,16.29
NC_048526.1,Codium fragile mitochondrion  complete genome,45971,0,0,2538,5.52,98,.21,2587,5.62,49,.10
NC_048527.1,Thuja koraiensis chloroplast  complete genome,130027,0,0,4402,3.38,1721,1.32,5114,3.93,712,.54
NC_048528.1,Prunus rufa voucher 1987.0221 chloroplast  complete genome,157723,0,0,6101,3.86,1571,.99,6493,4.11,392,.24
NC_048529.1,Enterogyrus malmbergi mitochondrion  complete genome,14107,0,0,248,1.75,394,2.79,346,2.45,98,.69
NC_048624.1,Staphylococcus phage phi7247PVL DNA  complete genome,42481,0,0,183,.43,147,.34,330,.77,147,.34
NC_048625.1,Lactobacillus phage T25 DNA  complete genome,38421,0,0,0,0,0,0,0,0,0,0
NC_048626.1,Pseudomonas phage PA01 DNA  nearly complete genome,66220,0,0,84,.12,0,0,84,.12,0,0
NC_048627.1,Escherichia phage SP15 DNA  complete genome,110964,0,0,235,.21,147,.13,382,.34,147,.13
NC_048628.1,Bacillus phage BceA1 complete genome,42932,0,0,186,.43,0,0,186,.43,0,0
NC_048630.1,Pseudoalteromonas phage HP1  complete genome,45035,0,0,208,.46,0,0,208,.46,0,0
NC_048631.1,Bacillus phage phi105  complete genome,39318,0,0,98,.24,0,0,98,.24,0,0
NC_048632.1,Salmonella phage 35  complete genome,55391,0,0,97,.17,0,0,97,.17,0,0
NC_048634.1,Staphylococcus phage P282  complete genome,41960,0,0,272,.64,98,.23,370,.88,98,.23
NC_048635.1,Staphylococcus phage P630  complete genome,40448,0,0,189,.46,245,.60,434,1.07,245,.60
NC_048636.1,Staphylococcus phage P1105  complete genome,42282,0,0,160,.37,98,.23,209,.49,49,.11
NC_048637.1,Bacteriophage vB NpeS-2AV2  complete genome,139100,0,0,322,.23,148,.10,371,.26,49,.03
NC_048638.1,Pseudomonas phage ZC03  complete genome,69844,0,0,417,.59,0,0,417,.59,0,0
NC_048639.1,Pseudomonas phage ZC08  complete genome,70774,0,0,425,.60,49,.06,425,.60,0,0
NC_048640.1,Bacillus phage vB BtS BMBtp14  complete genome,50740,0,0,403,.79,49,.09,403,.79,0,0
NC_048641.1,Bacillus phage PfEFR-4  complete genome,43223,0,0,102,.23,98,.22,200,.46,98,.22
NC_048642.1,Clostridium phage CDKM9  complete genome,49822,0,0,652,1.30,49,.09,701,1.40,49,.09
NC_048643.1,Clostridium phage CDKM15  complete genome,50605,0,0,695,1.37,196,.38,891,1.76,196,.38
NC_048644.1,Staphylococcus phage 3 AJ-2017  complete genome,43922,0,0,352,.80,49,.11,401,.91,49,.11
NC_048645.1,Cronobacter phage vB CsaM leB  complete genome,177907,0,0,447,.25,0,0,447,.25,0,0
NC_048646.1,Cronobacter phage vB CsaM leE  complete genome,181570,0,0,244,.13,0,0,244,.13,0,0
NC_048648.1,Salmonella phage ST-101  complete genome,59132,0,0,103,.17,0,0,103,.17,0,0
NC_048649.1,Salmonella phage UPF BP2  complete genome,54894,0,0,382,.69,0,0,382,.69,0,0
NC_048650.1,Streptomyces phage BRock  complete genome,112523,0,0,775,.68,0,0,775,.68,0,0
NC_048651.1,Aeribacillus phage AP45  complete genome,51606,0,0,149,.28,147,.28,149,.28,0,0
NC_048652.1,Bacillus phage vB BsuM-Goe3  complete genome,156430,0,0,574,.36,147,.09,623,.39,49,.03
NC_048653.1,Pectobacterium phage vB PatP CB1  complete genome,76041,0,0,530,.69,0,0,530,.69,0,0
NC_048654.1,Pectobacterium phage vB PatP CB4  complete genome,76621,0,0,520,.67,0,0,520,.67,0,0
NC_048655.1,Salmonella phage BSPM4  complete genome,59097,0,0,135,.22,0,0,135,.22,0,0
NC_048656.1,Klebsiella phage vB KpnM BIS47  complete genome,147443,0,0,431,.29,49,.03,480,.32,49,.03
NC_048657.1,Staphylococcus phage IME1361 01  complete genome,43516,0,0,213,.48,147,.33,360,.82,147,.33
NC_048658.1,Staphylococcus phage SA7  complete genome,34730,0,0,348,1.00,74,.21,422,1.21,74,.21
NC_048659.1,Pectobacterium phage phiA41  complete genome,75764,0,0,413,.54,0,0,413,.54,0,0
NC_048660.1,Aeromonas phage phiA8-29  complete genome,144974,0,0,459,.31,0,0,459,.31,0,0
NC_048661.1,Clostridium phage CPS1  complete genome,19089,0,0,112,.58,98,.51,112,.58,0,0
NC_048662.1,Pseudomonas phage R12 DNA  complete genome,65415,0,0,161,.24,0,0,161,.24,0,0
NC_048663.1,Pseudomonas phage R26 DNA  complete genome,65737,0,0,156,.23,0,0,156,.23,0,0
NC_048664.1,Cronobacter phage vB CsaP 009 DNA  complete genome,92122,0,0,531,.57,0,0,531,.57,0,0
NC_048667.1,Bacillus phage Deep-Purple  complete genome,36278,0,0,76,.20,0,0,76,.20,0,0
NC_048668.1,Serratia phage 2050HW  complete genome,276025,0,0,363,.13,0,0,363,.13,0,0
NC_048669.1,Rhodococcus phage Hiro  complete genome,46854,0,0,272,.58,0,0,272,.58,0,0
NC_048670.1,Klebsiella phage KPN N137  complete genome,59100,0,0,187,.31,0,0,187,.31,0,0
NC_048671.1,Lentibacter virus vB LenP ICBM2  complete genome,40907,0,0,136,.33,0,0,136,.33,0,0
NC_048672.1,Lentibacter virus vB LenP ICBM1  complete genome,40163,0,0,212,.52,0,0,212,.52,0,0
NC_048673.1,Aeromonas phage AS-zj  complete genome,229929,0,0,698,.30,107,.04,796,.34,98,.04
NC_048675.1,Pseudomonas phage BrSP1  complete genome,66189,0,0,205,.30,0,0,205,.30,0,0
NC_048676.1,Pseudomonas phage SL1  complete genome,65847,0,0,91,.13,0,0,91,.13,0,0
NC_048677.1,Lactobacillus phage LpeD  complete genome,145162,0,0,742,.51,282,.19,889,.61,147,.10
NC_048678.1,Leptospira phage LE3  complete genome,48288,0,0,403,.83,98,.20,501,1.03,98,.20
NC_048679.1,Leptospira phage LE4  complete genome,47866,0,0,296,.61,98,.20,394,.82,98,.20
NC_048680.1,Lactobacillus phage LJ  complete genome,44260,0,0,65,.14,0,0,65,.14,0,0
NC_048681.1,Staphylococcus phage phiSa2wa st22  complete genome,38576,0,0,183,.47,49,.12,232,.60,49,.12
NC_048682.1,Raoultella phage Ro1  complete genome,145759,0,0,313,.21,49,.03,362,.24,49,.03
NC_048683.1,Salmonella phage KFS-SE1  complete genome,59715,0,0,82,.13,0,0,82,.13,0,0
NC_048684.1,Streptomyces phage WRightOn  complete genome,45221,0,0,266,.58,0,0,266,.58,0,0
NC_048685.1,Streptomyces phage Manuel  complete genome,45177,0,0,266,.58,0,0,266,.58,0,0
NC_048686.1,Streptomyces phage Immanuel3  complete genome,46094,0,0,624,1.35,0,0,624,1.35,0,0
NC_048687.1,Pseudomonas phage PMBT14  complete genome,47820,0,0,80,.16,0,0,80,.16,0,0
NC_048688.1,Paenibacillus phage BN12  complete genome,39485,0,0,81,.20,49,.12,130,.32,49,.12
NC_048689.1,Paenibacillus phage PBL1c  complete genome,40611,0,0,36,.08,49,.12,85,.20,49,.12
NC_048690.1,Paenibacillus phage Pagassa  complete genome,40035,0,0,88,.21,49,.12,137,.34,49,.12
NC_048691.1,Paenibacillus phage Tadhana  complete genome,37880,0,0,41,.10,49,.12,90,.23,49,.12
NC_048692.1,Paenibacillus phage Leyra  complete genome,42276,0,0,131,.30,0,0,131,.30,0,0
NC_048693.1,Paenibacillus phage Likha  complete genome,39778,0,0,123,.30,0,0,123,.30,0,0
NC_048694.1,Klebsiella phage vB Kpn F48  complete genome,170764,0,0,397,.23,49,.02,446,.26,49,.02
NC_048695.1,Gordonia phage Adgers  complete genome,76008,0,0,412,.54,0,0,412,.54,0,0
NC_048696.1,Mycobacterium phage Cuke  complete genome,68869,0,0,251,.36,49,.07,251,.36,0,0
NC_048697.1,Pseudomonas phage Littlefix  complete genome,74895,0,0,183,.24,0,0,183,.24,0,0
NC_048698.1,Bacillus phage Carmen17  complete genome,41820,0,0,150,.35,0,0,150,.35,0,0
NC_048699.1,Pseudomonas phage vB PaeM LS1  complete genome,66095,0,0,65,.09,0,0,65,.09,0,0
NC_048700.1,Klebsiella phage KP8  complete genome,73679,0,0,278,.37,0,0,278,.37,0,0
NC_048701.1,Anoxybacillus phage A403  complete genome,40847,0,0,210,.51,98,.23,308,.75,98,.23
NC_048702.1,Erwinia phage vB EamM-Bue1  complete genome,164037,0,0,331,.20,0,0,331,.20,0,0
NC_048703.1,Xanthomonas phage RiverRider  complete genome,76335,0,0,210,.27,0,0,210,.27,0,0
NC_048704.1,Pectobacterium phage Nepra  complete genome,74509,0,0,600,.80,0,0,600,.80,0,0
NC_048705.1,Mycobacterium phage TChen  complete genome,57742,0,0,418,.72,98,.16,418,.72,0,0
NC_048706.1,Streptomyces phage FlowerPower  complete genome,46133,0,0,466,1.01,0,0,466,1.01,0,0
NC_048707.1,Clostridium phage CPS2  complete genome,17961,0,0,39,.21,49,.27,88,.48,49,.27
NC_048708.1,Rhodococcus phage Takoda  complete genome,46807,0,0,260,.55,0,0,260,.55,0,0
NC_048709.1,Vibrio phage YC  complete genome,147890,0,0,341,.23,196,.13,488,.32,147,.09
NC_048710.1,Staphylococcus phage SA1014ruMSSAST7  complete genome,43504,0,0,165,.37,49,.11,214,.49,49,.11
NC_048711.1,Staphylococcus phage SA780ruMSSAST101  complete genome,43184,0,0,324,.75,49,.11,373,.86,49,.11
NC_048712.1,Clostridium phage susfortuna  complete genome,19046,0,0,638,3.34,49,.25,687,3.60,49,.25
NC_048713.1,Staphylococcus aureus phage SA345ruMSSAST8  complete genome,42735,0,0,176,.41,98,.22,274,.64,98,.22
NC_048714.1,Paenibacillus phage Yerffej  complete genome,43126,0,0,131,.30,0,0,131,.30,0,0
NC_048715.1,Paenibacillus phage Kawika  complete genome,40769,0,0,76,.18,0,0,76,.18,0,0
NC_048716.1,Paenibacillus phage Lucielle  complete genome,37947,0,0,88,.23,0,0,88,.23,0,0
NC_048717.1,Paenibacillus phage Eltigre  complete genome,38675,0,0,128,.33,0,0,128,.33,0,0
NC_048718.1,Paenibacillus phage Jacopo  complete genome,38526,0,0,163,.42,0,0,163,.42,0,0
NC_048719.1,Streptomyces phage Annadreamy  complete genome,125726,0,0,711,.56,49,.03,760,.60,49,.03
NC_048720.1,Streptomyces phage Blueeyedbeauty  complete genome,130473,0,0,790,.60,0,0,790,.60,0,0
NC_048721.1,Streptomyces phage StarPlatinum  complete genome,133886,0,0,703,.52,0,0,703,.52,0,0
NC_048722.1,Streptomyces phage Wofford  complete genome,133007,0,0,656,.49,0,0,656,.49,0,0
NC_048723.1,Streptomyces phage LukeCage  complete genome,133195,0,0,587,.44,49,.03,636,.47,49,.03
NC_048724.1,Streptomyces phage Karimac  complete genome,131909,0,0,842,.63,0,0,842,.63,0,0
NC_048725.1,Bacillus phage Wes44  complete genome,42248,0,0,95,.22,0,0,95,.22,0,0
NC_048726.1,Bacillus phage BSP38  complete genome,153268,0,0,526,.34,149,.09,624,.40,98,.06
NC_048727.1,Salmonella phage Siskin  complete genome,58476,0,0,130,.22,0,0,130,.22,0,0
NC_048728.1,Streptomyces phage Comrade  complete genome,129015,0,0,570,.44,0,0,570,.44,0,0
NC_048729.1,Mycobacterium phage Renaud18  complete genome,58078,0,0,364,.62,49,.08,364,.62,0,0
NC_048730.1,Streptomyces phage Yaboi  complete genome,131250,0,0,1025,.78,0,0,1025,.78,0,0
NC_048731.1,Escherichia phage fp01  complete genome,109515,0,0,468,.42,90,.08,517,.47,49,.04
NC_048732.1,Klebsiella phage Seifer  complete genome,58197,0,0,115,.19,0,0,115,.19,0,0
NC_048733.1,Microbacterium phage Burro  complete genome,54473,0,0,372,.68,0,0,372,.68,0,0
NC_048734.1,Mycobacterium phage Fowlmouth  complete genome,69660,0,0,208,.29,49,.07,208,.29,0,0
NC_048735.1,Bacillus phage vB BboS-125  complete genome,58528,0,0,266,.45,148,.25,266,.45,0,0
NC_048736.1,Serratia phage vB SmaA 3M  complete genome,159398,0,0,181,.11,0,0,181,.11,0,0
NC_048737.1,Lactobacillus phage BH1  complete genome,40721,0,0,84,.20,49,.12,133,.32,49,.12
NC_048738.1,Clostridium phage CPD2  complete genome,18212,0,0,386,2.11,98,.53,435,2.38,49,.26
NC_048739.1,Arthrobacter phage Anjali  complete genome,19679,0,0,232,1.17,0,0,232,1.17,0,0
NC_048740.1,Arthrobacter phage Mendel  complete genome,19428,0,0,47,.24,0,0,47,.24,0,0
NC_048741.1,Proteus phage Mydo  complete genome,145127,0,0,669,.46,98,.06,767,.52,98,.06
NC_048742.1,Streptomyces phage Gilson  complete genome,128338,0,0,719,.56,49,.03,768,.59,49,.03
NC_048743.1,Mycobacterium phage DrLupo  complete genome,70030,0,0,365,.52,0,0,365,.52,0,0
NC_048744.1,Pseudomonas phage EPa61  complete genome,65905,0,0,123,.18,0,0,123,.18,0,0
NC_048745.1,Pseudomonas phage vB PaeM SCUT-S1  complete genome,66086,0,0,152,.23,0,0,152,.23,0,0
NC_048746.1,Gordonia phage Sombrero  complete genome,76485,0,0,299,.39,0,0,299,.39,0,0
NC_048747.1,Vibrio phage 2 TSL-2019  complete genome,242446,0,0,205,.08,49,.02,254,.10,49,.02
NC_048748.1,Escherichia phage vB EcoS HdH2  complete genome,120120,0,0,442,.36,196,.16,589,.49,147,.12
NC_048749.1,Gordonia phage Rickmore  complete genome,60218,0,0,70,.11,0,0,70,.11,0,0
NC_048750.1,Gordonia phage Duffington  complete genome,61343,0,0,63,.10,0,0,63,.10,0,0
NC_048751.1,Pantoea phage vB PagM LIET2  complete genome,74710,0,0,224,.29,74,.09,224,.29,0,0
NC_048752.1,Lactobacillus phage 521B  complete genome,136442,0,0,491,.35,196,.14,687,.50,196,.14
NC_048753.1,Lactobacillus phage 3-521  complete genome,140816,0,0,661,.46,49,.03,710,.50,49,.03
NC_048754.1,Lactobacillus phage SAC12B  complete genome,136608,0,0,660,.48,294,.21,954,.69,294,.21
NC_048755.1,Stenotrophomonas phage YB07  complete genome,159862,0,0,935,.58,0,0,935,.58,0,0
NC_048756.1,Nodularia phage vB NspS-kac65v151  complete genome,146618,0,0,413,.28,123,.08,462,.31,49,.03
NC_048757.1,Nodularia phage vB NspS-kac68v161  complete genome,145400,0,0,258,.17,0,0,258,.17,0,0
NC_048758.1,Serratia phage Parlo  complete genome,62853,0,0,238,.37,0,0,238,.37,0,0
NC_048760.1,Salmonella phage Sepoy  complete genome,114080,0,0,416,.36,49,.04,465,.40,49,.04
NC_048761.1,Microbacterium phage Akoni  complete genome,54307,0,0,354,.65,0,0,354,.65,0,0
NC_048762.1,Bacillus phage vB BtS B83  complete genome,49952,0,0,160,.32,98,.19,258,.51,98,.19
NC_048763.1,Salmonella phage SE13  complete genome,52438,0,0,178,.33,74,.14,178,.33,0,0
NC_048764.1,Salmonella phage SE4  complete genome,53494,0,0,131,.24,74,.13,131,.24,0,0
NC_048765.1,Vibrio phage VAP7  complete genome,144685,0,0,482,.33,147,.10,531,.36,49,.03
NC_048766.1,Pantoea phage vB PagM AAM37  complete genome,49990,0,0,129,.25,0,0,129,.25,0,0
NC_048767.1,Pantoea phage vB PagM PSKM  complete genome,49935,0,0,74,.14,0,0,74,.14,0,0
NC_048768.1,Gordonia phage Chelms  complete genome,76261,0,0,285,.37,0,0,285,.37,0,0
NC_048769.1,Aeromonas phage 2-L372D  complete genome,122963,0,0,829,.67,49,.03,878,.71,49,.03
NC_048770.1,Aeromonas phage 2 L372X  complete genome,115893,0,0,552,.47,0,0,552,.47,0,0
NC_048771.1,Aeromonas phage 4 L372D  complete genome,138690,0,0,1025,.73,147,.10,1123,.80,98,.07
NC_048772.1,Aeromonas phage 4 L372XY  complete genome,124279,0,0,617,.49,99,.07,666,.53,49,.03
NC_048773.1,Aeromonas phage 4 4572  complete genome,102915,0,0,446,.43,147,.14,495,.48,49,.04
NC_048774.1,Aeromonas phage LAh 6  complete genome,101390,0,0,460,.45,101,.09,509,.50,49,.04
NC_048775.1,Aeromonas phage LAh 8  complete genome,97408,0,0,535,.54,98,.10,584,.59,49,.05
NC_048776.1,Aeromonas phage LAh 9  complete genome,97988,0,0,624,.63,98,.10,673,.68,49,.05
NC_048777.1,Microbacterium phage TinyTimothy  complete genome,53932,0,0,211,.39,49,.09,211,.39,0,0
NC_048778.1,Microbacterium phage Alex44  complete genome,54396,0,0,227,.41,0,0,227,.41,0,0
NC_048779.1,Vibrio phage USC-1  complete genome,238099,0,0,181,.07,123,.05,230,.09,49,.02
NC_048780.1,Corynebacterium phage StAB  complete genome,45751,0,0,390,.85,0,0,390,.85,0,0
NC_048781.1,Salmonella phage vB SenS SB13  complete genome,112513,0,0,354,.31,98,.08,452,.40,98,.08
NC_048782.1,Rhodococcus phage Sleepyhead  complete genome,43943,0,0,177,.40,0,0,177,.40,0,0
NC_048783.1,Gordonia phage Beaver  complete genome,77394,0,0,358,.46,0,0,358,.46,0,0
NC_048784.1,Rhodococcus phage Whack  complete genome,49660,0,0,218,.43,0,0,218,.43,0,0
NC_048785.1,Salmonella phage SE24  complete genome,114855,0,0,401,.34,98,.08,450,.39,49,.04
NC_048786.1,Salmonella phage SE11  complete genome,107763,0,0,221,.20,147,.13,319,.29,98,.09
NC_048787.1,Corynebacterium phage Dina  complete genome,44381,0,0,512,1.15,0,0,512,1.15,0,0
NC_048788.1,Mycobacterium phage ThetaBob  complete genome,56714,0,0,555,.97,98,.17,555,.97,0,0
NC_048789.1,Corynebacterium phage Stiles  complete genome,42846,0,0,469,1.09,0,0,469,1.09,0,0
NC_048790.1,Corynebacterium phage Lederberg  complete genome,45644,0,0,679,1.48,0,0,679,1.48,0,0
NC_048791.1,Corynebacterium phage Adelaide  complete genome,44104,0,0,316,.71,49,.11,365,.82,49,.11
NC_048792.1,Serratia phage Moabite  complete genome,273933,0,0,440,.16,98,.03,489,.17,49,.01
NC_048793.1,Gordonia phage Kenosha  complete genome,60899,0,0,53,.08,0,0,53,.08,0,0
NC_048794.1,Salmonella virus VSe12  complete genome,109654,0,0,460,.41,98,.08,558,.50,98,.08
NC_048795.1,Salmonella phage Th1  complete genome,110466,0,0,214,.19,98,.08,312,.28,98,.08
NC_048796.1,Panteoa phage Kyle  complete genome,73168,0,0,103,.14,49,.06,152,.20,49,.06
NC_048797.1,Bacillus phage vB BmeM-Goe8  complete genome,161583,0,0,1023,.63,441,.27,1219,.75,196,.12
NC_048798.1,Klebsiella phage Marfa  complete genome,168532,0,0,627,.37,49,.02,676,.40,49,.02
NC_048799.1,Escherichia phage Mangalitsa  complete genome,52329,0,0,155,.29,49,.09,155,.29,0,0
NC_048800.1,Serratia phage MyoSmar  complete genome,68745,0,0,109,.15,0,0,109,.15,0,0
NC_048801.1,Microbacterium phage Araxxi  complete genome,53981,0,0,272,.50,0,0,272,.50,0,0
NC_048802.1,Stenotrophomonas phage Moby  complete genome,159365,0,0,802,.50,49,.03,802,.50,0,0
NC_048803.1,Proteus phage Myduc  complete genome,53392,0,0,210,.39,0,0,210,.39,0,0
NC_048804.1,Stenotrophomonas phage Mendera  complete genome,159961,0,0,1034,.64,0,0,1034,.64,0,0
NC_048805.1,Klebsiella phage Soft  complete genome,57805,0,0,240,.41,74,.12,240,.41,0,0
NC_048806.1,Pseudomonas virus PA8P1  complete genome,65690,0,0,132,.20,0,0,132,.20,0,0
NC_048807.1,Erwinia phage pEp SNUABM 01  complete genome,147321,0,0,738,.50,0,0,738,.50,0,0
NC_048809.1,Salmonella phage 2-3  complete genome,114986,0,0,461,.40,49,.04,510,.44,49,.04
NC_048810.1,Gordonia phage Chikenjars  complete genome,61544,0,0,0,0,0,0,0,0,0,0
NC_048811.1,Salmonella phage 1-29  complete genome,111636,0,0,383,.34,74,.06,383,.34,0,0
NC_048812.1,Gordonia phage Gibbin  complete genome,67785,0,0,308,.45,0,0,308,.45,0,0
NC_048813.1,Gordonia phage Ranch  complete genome,66892,0,0,389,.58,74,.11,389,.58,0,0
NC_048814.1,Gordonia phage Lambo  complete genome,67813,0,0,404,.59,74,.10,404,.59,0,0
NC_048815.1,Gordonia phage Sadboi  complete genome,67485,0,0,418,.61,0,0,418,.61,0,0
NC_048816.1,Gordonia phage OhMyWard  complete genome,60978,0,0,58,.09,0,0,58,.09,0,0
NC_048817.1,Gordonia phage Tanis  complete genome,59727,0,0,89,.14,0,0,89,.14,0,0
NC_048818.1,Escherichia virus VEc33  complete genome,108640,0,0,463,.42,49,.04,512,.47,49,.04
NC_048819.1,Salmonella phage 1-19  complete genome,110775,0,0,451,.40,247,.22,525,.47,74,.06
NC_048820.1,Gordonia phage Jellybones  complete genome,77514,0,0,377,.48,0,0,377,.48,0,0
NC_048821.1,Photobacterium phage PDCC-1  complete genome,237509,0,0,79,.03,98,.04,177,.07,98,.04
NC_048822.1,Gordonia phage Avazak  complete genome,60278,0,0,69,.11,0,0,69,.11,0,0
NC_048823.1,Gordonia phage Untouchable  complete genome,61623,0,0,225,.36,0,0,225,.36,0,0
NC_048824.1,Mycobacterium phage Indlulamithi  complete genome,71538,0,0,333,.46,0,0,333,.46,0,0
NC_048825.1,Gordonia phage Crocheter  complete genome,60531,0,0,225,.37,0,0,225,.37,0,0
NC_048826.1,Gordonia phage Yikes  complete genome,68155,0,0,352,.51,0,0,352,.51,0,0
NC_048827.1,Vibrio phage vB VchM Kuja  complete genome,148180,0,0,557,.37,49,.03,606,.40,49,.03
NC_048828.1,Erwinia phage Hena1  complete genome,148842,0,0,718,.48,0,0,718,.48,0,0
NC_048829.1,Flavobacterium phage vB FspM lotta8-1  complete genome,34751,0,0,125,.35,49,.14,174,.50,49,.14
NC_048830.1,Flavobacterium phage vB FspM pippi8-1  complete genome,34711,0,0,104,.29,49,.14,153,.44,49,.14
NC_048831.1,Flavobacterium phage vB FspS filifjonk9-1  complete genome,38028,0,0,391,1.02,147,.38,489,1.28,98,.25
NC_048832.1,Flavobacterium phage vB FspS hattifnatt9-1  complete genome,39262,0,0,690,1.75,98,.24,739,1.88,49,.12
NC_048833.1,Flavobacterium phage vB FspS hemulen6-1  complete genome,39039,0,0,572,1.46,147,.37,670,1.71,98,.25
NC_048834.1,Flavobacterium phage vB FspS laban6-1  complete genome,43236,0,0,633,1.46,147,.33,731,1.69,98,.22
NC_048835.1,Flavobacterium phage vB FspS lillamy9-1  complete genome,38268,0,0,742,1.93,245,.64,889,2.32,147,.38
NC_048836.1,Flavobacterium phage vB FspS morran9-1  complete genome,38385,0,0,552,1.43,196,.51,650,1.69,98,.25
NC_048837.1,Flavobacterium phage vB FspS mumin9-1  complete genome,38527,0,0,396,1.02,147,.38,445,1.15,49,.12
NC_048838.1,Flavobacterium phage vB FspS mymlan6-1  complete genome,38501,0,0,456,1.18,147,.38,505,1.31,49,.12
NC_048839.1,Flavobacterium phage vB FspS sniff9-1  complete genome,38134,0,0,591,1.54,221,.57,714,1.87,123,.32
NC_048840.1,Flavobacterium phage vB FspS snork6-1  complete genome,38214,0,0,686,1.79,245,.64,833,2.17,147,.38
NC_048841.1,Flavobacterium phage vB FspS snusmum6-1  complete genome,39365,0,0,681,1.72,172,.43,730,1.85,49,.12
NC_048842.1,Flavobacterium phage vB FspS stinky9-1  complete genome,38502,0,0,629,1.63,196,.50,727,1.88,98,.25
NC_048843.1,Flavobacterium phage vB FspS tant8-1  complete genome,40542,0,0,268,.66,98,.24,366,.90,98,.24
NC_048844.1,Flavobacterium phage vB FspS tooticki6-1  complete genome,36912,0,0,371,1.00,221,.59,494,1.33,123,.33
NC_048845.1,Escherichia phage flopper  complete genome,52092,0,0,217,.41,49,.09,217,.41,0,0
NC_048846.1,Myoviridae sp. isolate 278  complete genome,44651,0,0,55,.12,0,0,55,.12,0,0
NC_048847.1,Alteromonas phage vB AmeM PT11-V22  complete genome,92760,0,0,296,.31,98,.10,345,.37,49,.05
NC_048848.1,Butyrivibrio virus Arawn  complete genome,31118,0,0,198,.63,0,0,198,.63,0,0
NC_048849.1,Enterobacter phage vB EclM CIP9  complete genome,174924,0,0,410,.23,147,.08,459,.26,49,.02
NC_048850.1,Mycobacterium phage Cornie  complete genome,56391,0,0,217,.38,0,0,217,.38,0,0
NC_048851.1,Gordonia phage John316  complete genome,77221,0,0,473,.61,0,0,473,.61,0,0
NC_048852.1,Salmonella phage L6jm  complete genome,118452,0,0,582,.49,196,.16,729,.61,147,.12
NC_048853.1,Phage NBEco001  complete genome,116606,0,0,395,.33,98,.08,493,.42,98,.08
NC_048854.1,Streptomyces phage JXY1  complete genome,45385,0,0,346,.76,0,0,346,.76,0,0
NC_048855.1,Phage NBEco002  complete genome,118118,0,0,288,.24,98,.08,386,.32,98,.08
NC_048856.1,Phage NBSal003  complete genome,119416,0,0,377,.31,147,.12,524,.43,147,.12
NC_048857.1,Phage NBSal005  complete genome,121040,0,0,345,.28,147,.12,492,.40,147,.12
NC_048858.1,Bifidobacterium phage BadAztec1  complete genome,18635,0,0,23,.12,0,0,23,.12,0,0
NC_048859.1,Bifidobacterium phage BadAargau2  complete genome,18899,0,0,0,0,0,0,0,0,0,0
